algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.083600,9545,8
QuickSort,random,1000,0.127900,16539,6
QuickSelect,random,1000,0.028900,5521,1
MergeSort,sorted,1000,0.044600,4236,8
QuickSort,sorted,1000,0.091900,16926,6
QuickSelect,sorted,1000,0.003700,4113,1
MergeSort,duplicates,1000,0.067200,9177,8
QuickSort,duplicates,1000,0.022300,5538,3
QuickSelect,duplicates,1000,0.011000,3663,1
MergeSort,random,10000,1.102600,127195,11
QuickSort,random,10000,0.680700,244731,9
QuickSelect,random,10000,0.093600,40392,1
MergeSort,sorted,10000,0.579400,59248,11
QuickSort,sorted,10000,0.415700,228893,9
QuickSelect,sorted,10000,0.029500,49662,1
MergeSort,duplicates,10000,0.288000,121450,11
QuickSort,duplicates,10000,0.131500,62439,3
QuickSelect,duplicates,10000,0.093700,45988,1
MergeSort,random,100000,6.735400,1639435,14
QuickSort,random,100000,9.914300,3076682,10
QuickSelect,random,100000,1.046400,517954,1
MergeSort,sorted,100000,1.463800,744016,14
QuickSort,sorted,100000,4.683400,3123329,11
QuickSelect,sorted,100000,0.311700,543774,1
MergeSort,duplicates,100000,3.417800,1561658,14
QuickSort,duplicates,100000,1.357600,712331,2
QuickSelect,duplicates,100000,0.872500,398494,1
MergeSort,random,1000000,81.502200,19890183,18
QuickSort,random,1000000,103.265200,37129874,13
QuickSelect,random,1000000,11.203500,6131744,1
MergeSort,sorted,1000000,19.293800,9071040,18
QuickSort,sorted,1000000,50.889800,37152347,13
QuickSelect,sorted,1000000,2.892500,4601445,1
MergeSort,duplicates,1000000,38.209900,18921497,18
QuickSort,duplicates,1000000,13.530200,5100523,2
QuickSelect,duplicates,1000000,8.073700,5497097,1
